Stazione,Inquinante,Temperatura,U.misura,Equazione,a,b,c,d,e,f
AIRQ01,14,,,,1277,0.3306,-45.19,46.38,9.035E-06,0
AIRQ02,14,,,,2305.9254,0.36627244,-61.003103,132.70392,7.661586E-06,0
AIRQ03,14,,,,5230.6418,0.80364213,-132.03623,103.90151,6.757166E-06,0
AIRQ04,14,,,,3345.3105,0.51046421,-84.209688,76.44961,5.762078E-06,0
AIRQ05,14,,,,5220.5167,0.78950993,-130.565072,91.16425,7.327389E-06,0
AIRQ06,14,,,,-261.9714,0.02510819,-1.824013,131.21967,7.084849E-06,0
AIRQ07,14,,,,4955.0114,0.73932727,-123.226064,97.05701,9.703424E-06,0
AIRQ08,14,,,,1007.5901,0.20779803,-32.686661,153.73585,7.193143E-06,0
AIRQ09,14,,,,1683.4022,0.33815384,-50.048389,77.12473,1.1713E-05,0
AIRQ10,14,,,,1151.7749,0.21352281,-34.137851,115.29568,9.769465E-06,0
AIRQ11,14,,,,9948.9537,1.31037418,-230.609309,115.93494,7.191748E-06,0
AIRQ12,14,,,,2210.6071,0.36134521,-58.685645,76.27859,9.32063E-06,0
AIRQ01,14,20,,,-5400.2488,-0.4161611,97.164277,3.702801,-8.956467E-05,0
AIRQ02,14,20,,,-20359.5788,-2.18177555,417.777066,243.429654,0.0001793935,0
AIRQ03,14,20,,,707.2658,0.2927581,-34.226859,37.678529,1.597318E-05,0
AIRQ04,14,20,,,-6692.0689,-0.63519964,122.318488,500.074279,-1.144872E-05,0
AIRQ05,14,20,,,1960.7812,0.44370826,-63.593992,115.893956,-3.684554E-06,0
AIRQ06,14,20,,,8406.3436,1.01733068,-188.928357,223.56911,7.979866E-07,0
AIRQ07,14,20,,,11154.1143,1.47235723,-260.804466,247.604176,-3.052252E-05,0
AIRQ08,14,20,,,-484.2989,0.09629439,-8.448938,298.748607,1.635569E-05,0
AIRQ09,14,20,,,13519.9897,1.87854737,-322.918423,233.607035,7.490213E-06,0
AIRQ10,14,20,,,-7776.9739,-0.71369285,143.921636,339.944273,4.593012E-05,0
AIRQ11,14,20,,,-5417.3712,-0.40172425,94.833477,82.462803,-4.07346E-05,0
AIRQ12,14,20,,,11769.3268,1.34830149,-255.296753,212.472328,-4.765516E-05,0
AIRQ01,15,,,,-1230.8061,-0.114170709,22.921732,66.77823,-4.15129E-06,0
AIRQ02,15,,,,-1137.9871,-0.088847364,18.776792,107.51012,-4.37051E-06,0
AIRQ03,15,,,,-596.011,-0.039829764,8.114717,111.27971,3.135047E-06,0
AIRQ04,15,,,,-381.5397,-0.023630916,5.029996,77.65431,5.444351E-07,0
AIRQ05,15,,,,-946.6191,-0.074729203,15.524399,103.98429,-3.85722E-06,0
AIRQ06,15,,,,-598.5856,-0.047872294,9.451167,83.70341,1.666948E-06,0
AIRQ07,15,,,,-310.3353,-0.009736747,2.592342,92.71156,6.394766E-07,0
AIRQ08,15,,,,-787.5347,-0.044725535,10.671073,120.80993,-8.259494E-06,0
AIRQ09,15,,,,-273.6626,-0.012437544,2.967333,68.06011,3.140048E-07,0
AIRQ10,15,,,,-793.0378,-0.069132429,13.747547,80.74966,-2.482279E-06,0
AIRQ11,15,,,,-1167.8753,-0.090782689,19.508758,97.51605,-7.508505E-06,0
AIRQ12,15,,,,-345.5301,-0.01312808,3.520208,84.87887,-2.248707E-06,0
AIRQ01,15,20,,,-636.02816,0.05151969,3.21523,20.97912,-0.0002996006,0
AIRQ02,15,20,,,-20.09377,0.17937526,-18.65398,189.35386,-0.0001976023,0
AIRQ03,15,20,,,1330.46915,0.38059264,-64.40142,794.00292,0.0001225061,0
AIRQ04,15,20,,,-3828.21779,-0.28551718,60.45797,457.37493,-9.613539E-05,0
AIRQ05,15,20,,,60.86917,0.19201271,-20.60661,198.22972,-0.0001043956,0
AIRQ06,15,20,,,2425.35093,0.50471882,-77.46004,317.12747,-0.0001787912,0
AIRQ07,15,20,,,-3290.38997,-0.15413037,35.56108,767.10354,-0.0002133353,0
AIRQ08,15,20,,,1238.16287,0.36841634,-52.96885,357.73543,-9.078182E-05,0
AIRQ09,15,20,,,-3161.39782,-0.18372067,39.93059,640.17771,-0.0003232527,0
AIRQ10,15,20,,,521.38311,0.28524124,-35.52931,302.12475,-0.0001539801,0
AIRQ11,15,20,,,-320.7595,0.12910845,-10.52688,170.91661,-0.0001987691,0
AIRQ12,15,20,,,-2125.18657,-0.09953917,23.11172,519.03749,-0.0002240952,0
AIRQ01,12,,,,35.16553,4.245155,0.16365755,-11.93225,0,0
AIRQ02,12,,,,60.25559,5.000518,-0.35528916,-19.55115,0,0
AIRQ03,12,,,,67.75028,5.022161,-0.43254743,-21.54485,0,0
AIRQ04,12,,,,43.25791,4.483529,0.05794939,-14.8003,0,0
AIRQ05,12,,,,56.06163,3.713307,-0.66217904,-16.39746,0,0
AIRQ06,12,,,,35.8254,4.257993,0.63190717,-13.63657,0,0
AIRQ07,12,,,,50.04323,4.313089,-0.05349264,-16.762,0,0
AIRQ08,12,,,,62.93598,5.137746,-0.44715836,-19.63231,0,0
AIRQ09,12,,,,43.87055,4.829751,-0.27247843,-14.85922,0,0
AIRQ10,12,,,,61.74972,5.152791,-0.45416451,-20.29392,0,0
AIRQ11,12,,,,52.61157,4.923815,-0.21850213,-17.10831,0,0
AIRQ12,12,,,,74.58355,4.455461,-0.33155121,-24.36934,0,0
AIRQ01,12,20,,,-18.268081,2.69978,0.675034883,4.4253401,0,0
AIRQ02,12,20,,,-14.124297,2.705916,0.481006868,3.9090485,0,0
AIRQ03,12,20,,,-19.437368,2.465327,0.660466316,5.7567782,0,0
AIRQ04,12,20,,,-3.826286,3.032347,0.337868412,0.4411024,0,0
AIRQ05,12,20,,,-9.815188,2.46607,0.51306185,1.6034911,0,0
AIRQ06,12,20,,,4.015173,3.824198,0.009110359,-1.976097,0,0
AIRQ07,12,20,,,-2.928012,2.630314,0.285516352,0.6519148,0,0
AIRQ08,12,20,,,-31.68622,2.589247,0.838380901,9.1615834,0,0
AIRQ09,12,20,,,-30.942881,1.047877,1.101577318,10.6142543,0,0
AIRQ10,12,20,,,-24.378567,3.093727,0.598283469,5.7235254,0,0
AIRQ11,12,20,,,-37.554341,2.507283,0.958362338,11.3532569,0,0
AIRQ12,12,20,,,-13.547145,2.679994,0.498450014,3.7146714,0,0
