controlUnitId,name,latitude,longitude
AIRQ01,AIRQ01_Intercalibrazione,46.104338,11.110227
AIRQ02,AIRQ02_Intercalibrazione,46.104338,11.110227
AIRQ03,AIRQ03_Intercalibrazione,46.104338,11.110227
AIRQ04,AIRQ04_Intercalibrazione,46.104338,11.110227
AIRQ05,AIRQ05_Intercalibrazione,46.104338,11.110227
AIRQ06,Stazione_KM164-400,45.864485247,11.003113333
AIRQ07,AIRQ07_Intercalibrazione,46.104338,11.110227
AIRQ08,AIRQ08_Intercalibrazione,46.104338,11.110227
AIRQ09,AIRQ09_Intercalibrazione,46.104338,11.110227
AIRQ10,Stazione_KM140-605,46.04227080945,11.11604421025
AIRQ11,Stazione_KM132-800,46.108147223,11.088813888
AIRQ12,Stazione_KM105-150-4metri,46.309867126,11.2543597395
AIRQ13,Stazione_KM105-150-centrale,46.309867126,11.2543597395
AIRQ14,Stazione_KM103-700,46.320035536,11.265970401
AIRQ15,Stazione_KM100-150,46.349276273,11.2831426605
AIRQ16,AIRQ16_Intercalibrazione,46.104338,11.110227
AIRQ17,AIRQ17_Intercalibrazione,46.104338,11.110227
AIRQ18,Stazione_KM080-175,46.4924585085,11.3729693235
AIRQ19,AIRQ19_Intercalibrazione,46.104338,11.110227
AIRQ20,AIRQ20_Intercalibrazione,46.104338,11.110227
AIRQ21,Stazione_KM046-050,46.694885759,11.6422865545
AIRQ22,Stazione_KM041-800,46.731390086,11.641675207
AIRQ23,AIRQ23_Intercalibrazione,46.104338,11.110227
