Tipologia evento,IdSottotipo,Descrizione
Incidente,1,Incidente
,2,Incidente con mezzi pesanti coinvolti
,3,Incidente con più veicoli coinvolti
Livello di servizio,4,Code
,,
,5,Code a tratti
,6,Coda di mezzi pesanti
,7,Code in uscita
,8,Code in allacciamento
,9,Code in barriera
,10,Traffico bloccato
,11,Traffico intenso
,12,Traffico rallentato
,13,Traffico rallentato con code
Nebbia,14,Banchi di nebbia
,19,Nebbia
Neve,20,Nevicata prevista
,21,Neve
,22,Consigliate le catene a bordo
,23,Mezzi spargisale in azione
,24,Obbligo catene a bordo
,25,Transito con catene o pneumatici da neve
,31,Formazione di ghiaccio
,32,Possibili tratti ghiacciati
,33,Pioggia gelata
,115,Mezzi schierati
,116,Nevischio
,117,Mezzi sgombraneve in azione
,118,Neve intensa
,119,Filtraggio dinamico
,120,Neve intensa - Disagi
,121,Neve intensa - Code
,123,Neve intensa - Blocchi
Altri eventi meteo,26,Temporali
,27,Grandinate
,28,Pioggia
,29,Raffiche di vento
,30,Vento forte
Cantieri,35,Carreggiata ridotta a due corsie
,36,Carreggiata ridotta a una corsia
,39,Corsia di emergenza chiusa
,40,Corsia di marcia chiusa
,41,Corsia di sorpasso chiusa
,42,Corsie a larghezza ridotta
,43,Scambio di carreggiata
,44,Senso unico alternato
,47,Riduzione corsia di sorpasso e deviazione di 2 corsie ridotte per flusso deviato
,48,Riduzione corsia di sorpasso e marcia e deviazione di 1 corsia ridotta per flusso deviato
,49,Deviazione di carreggiata con 2 flussi di marcia
,50,Deviazione di carreggiata con 2 corsie per il traffico non deviato
,51,Deviazione di carreggiata con 2 corsie deviate
,52,Lavori ai caselli
,53,Cantiere mobile
,114,Cantiere spartitraffico centrale
,208,Deviazione carreggiata con 2 corsie per il traffico deviato
Disservizi,54,AdS Chiusa/e
,55,Area di servizio sovraffollata
,56,"Area di servizio, erogazione di carburante chiusa"
,57,"Area di servizio, posto di ristoro chiuso"
,58,Disservizi ADS
,59,Colonnine SOS fuori servizio
,60,Luci di galleria spente
,61,Semafori non operativi
,62,Ventilazione gallerie guasta
Divieti,63,Limite di altezza temporaneo
,64,Limite di larghezza temporaneo
,65,"Divieto di transito veicoli superiori 7,5 T"
,66,Divieto di sorpasso mezzi trainanti rimorchi
,67,"Divieto di soprasso mezzi pesanti > 3,5 T"
,68,"Divieto di sorpasso mezzi pesanti > 7,5 T"
,69,Divieto di sorpasso mezzi pesanti > 12 T
,197,"Uscita consigliata mezzi pesanti > 7,5 T"
,198,"Uscita obbligatoria mezzi > 3,5 T"
,199,"Uscita obbligatoria mezzi pesanti > 7,5 T"
