Targa2,Euro 0,Euro 1,Euro 2,Euro 3,Euro 4,Euro 5,Euro 6,Elettrico
AA,0.0974842767295598,0.779874213836478,0.122641509433962,0,0,0,0,0
AB,0.115631691648822,0.715203426124197,0.167023554603854,0.00214132762312634,0,0,0,0
AC,0.0918264379414733,0.607467204843592,0.300706357214934,0,0,0,0,0
AD,0.0723140495867769,0.556818181818182,0.370867768595041,0,0,0,0,0
AE,0.0867924528301887,0.528301886792453,0.384905660377359,0,0,0,0,0
AF,0.0591882750845547,0.312852311161218,0.627959413754228,0,0,0,0,0
AG,0.0791415157612341,0.327967806841046,0.59289067739772,0,0,0,0,0
AH,0.0964467005076142,0.385786802030457,0.517766497461929,0,0,0,0,0
AJ,0.0909090909090909,0.352272727272727,0.556818181818182,0,0,0,0,0
AK,0.0758807588075881,0.241192411924119,0.682926829268293,0,0,0,0,0
AL,0.0836653386454183,0.183266932270916,0.733067729083665,0,0,0,0,0
AM,0.0700179533213645,0.181328545780969,0.748653500897666,0,0,0,0,0
AN,0.0545575515635396,0.0884896872920825,0.856952761144378,0,0,0,0,0
AP,0.0304182509505703,0.032319391634981,0.937262357414449,0,0,0,0,0
AR,0.0625,0.0144230769230769,0.923076923076923,0,0,0,0,0
AS,0.0278578290105668,0.0225744476464938,0.949567723342939,0,0,0,0,0
AT,0.0512820512820513,0.047008547008547,0.901709401709402,0,0,0,0,0
AV,0.0446650124069479,0.0704714640198511,0.883870967741936,0,0.000496277915632754,0,0,0.000496277915632754
AW,0.0769230769230769,0.0161943319838057,0.902834008097166,0.00404858299595142,0,0,0,0
AX,0.0483091787439614,0.0289855072463768,0.917874396135266,0.00483091787439614,0,0,0,0
AY,0.0333333333333333,0.0349726775956284,0.927322404371585,0.00437158469945355,0,0,0,0
AZ,0.0364741641337386,0.0303951367781155,0.930091185410334,0.00303951367781155,0,0,0,0
BA,0.0602836879432624,0.0141843971631206,0.914893617021277,0.0106382978723404,0,0,0,0
BB,0.0182780182780183,0.0187590187590188,0.950937950937951,0.012025012025012,0,0,0,0
BC,0.0440251572327044,0.0251572327044025,0.90251572327044,0.0283018867924528,0,0,0,0
BD,0.0309623430962343,0.0217573221757322,0.928033472803347,0.0192468619246862,0,0,0,0
BE,0.0203417412530513,0.0219690805532954,0.921887713588283,0.0358014646053702,0,0,0,0
BF,0.0103234686854783,0.018582243633861,0.910529938059188,0.0591878871300757,0.00137646249139711,0,0,0
BG,0.051348999129678,0.031331592689295,0.825935596170583,0.0905134899912968,0.000870322019147084,0,0,0
BH,0.0190045248868778,0.0180995475113122,0.857013574660633,0.104977375565611,0.000904977375565611,0,0,0
BJ,0.0169851380042463,0.0169851380042463,0.829087048832272,0.134819532908705,0.00212314225053079,0,0,0
BK,0.00699300699300699,0.00844988344988345,0.78962703962704,0.171328671328671,0.0236013986013986,0,0,0
BL,0.0265151515151515,0.0303030303030303,0.693181818181818,0.231060606060606,0.0189393939393939,0,0,0
BM,0.00860023724792408,0.00860023724792408,0.51779359430605,0.35349940688019,0.111506524317912,0,0,0
BN,0.00345337937839171,0.00345337937839171,0.198815984213123,0.608781450419339,0.185495806610755,0,0,0
BP,0.00838926174496644,0.0134228187919463,0.26006711409396,0.536073825503356,0.182046979865772,0,0,0
BR,0.00700525394045534,0.0227670753064799,0.21015761821366,0.663747810858144,0.0963222416812609,0,0,0
BS,0.0100502512562814,0.00452261306532663,0.108542713567839,0.705527638190955,0.171356783919598,0,0,0
BT,0.00238095238095238,0.0238095238095238,0.147619047619048,0.719047619047619,0.107142857142857,0,0,0
BV,0.00372502539790044,0.00541821876058246,0.0941415509651202,0.721977649847613,0.174060277683711,0.000677277345072807,0,0
BW,0.00534938147776663,0.00334336342360415,0.0765630224005349,0.735205616850552,0.17753259779338,0.00200601805416249,0,0
BX,0.00766155896069287,0.00732844770153231,0.0716189207195203,0.731512325116589,0.181878747501666,0,0,0
BY,0.00583090379008746,0.00145772594752187,0.0553935860058309,0.832361516034985,0.104956268221574,0,0,0
BZ,0.00687234975873666,0.00467904664424623,0.0432811814592777,0.687673636496564,0.257493785641176,0,0,0
CA,0.00775193798449612,0.00930232558139535,0.0108527131782946,0.841860465116279,0.130232558139535,0,0,0
CB,0.00424382716049383,0.00308641975308642,0.0281635802469136,0.774691358024691,0.189814814814815,0,0,0
CC,0.00185185185185185,0.00185185185185185,0.0203703703703704,0.82962962962963,0.146296296296296,0,0,0
