CODE,SENSOR TECHNOLOGY
municipalitybz:1,induction_loop
municipalitybz:10,induction_loop
municipalitybz:10l0d0,induction_loop
municipalitybz:10l0d1,induction_loop
municipalitybz:10l1d0,induction_loop
municipalitybz:10l1d1,induction_loop
municipalitybz:10l2d0,induction_loop
municipalitybz:10l2d1,induction_loop
municipalitybz:11,induction_loop
municipalitybz:11l0d0,induction_loop
municipalitybz:11l0d1,induction_loop
municipalitybz:11l1d0,induction_loop
municipalitybz:11l1d1,induction_loop
municipalitybz:12,induction_loop
municipalitybz:12l0d0,induction_loop
municipalitybz:12l0d1,induction_loop
municipalitybz:12l1d0,induction_loop
municipalitybz:12l1d1,induction_loop
municipalitybz:12l2d0,induction_loop
municipalitybz:12l2d1,induction_loop
municipalitybz:12l3d0,induction_loop
municipalitybz:12l3d1,induction_loop
municipalitybz:12l4d0,induction_loop
municipalitybz:12l4d1,induction_loop
municipalitybz:13,induction_loop
municipalitybz:13l0d0,induction_loop
municipalitybz:13l0d1,induction_loop
municipalitybz:13l1d0,induction_loop
municipalitybz:13l1d1,induction_loop
municipalitybz:14,induction_loop
municipalitybz:14l0d0,induction_loop
municipalitybz:14l0d1,induction_loop
municipalitybz:14l1d0,induction_loop
municipalitybz:14l1d1,induction_loop
municipalitybz:14l2d0,induction_loop
municipalitybz:14l2d1,induction_loop
municipalitybz:15,induction_loop
municipalitybz:15l0d0,induction_loop
municipalitybz:15l0d1,induction_loop
municipalitybz:15l1d0,induction_loop
municipalitybz:15l1d1,induction_loop
municipalitybz:17,induction_loop
municipalitybz:17l0d0,induction_loop
municipalitybz:17l0d1,induction_loop
municipalitybz:17l1d0,induction_loop
municipalitybz:17l1d1,induction_loop
municipalitybz:17l2d0,induction_loop
municipalitybz:17l2d1,induction_loop
municipalitybz:17l3d0,induction_loop
municipalitybz:17l3d1,induction_loop
municipalitybz:17l4d0,induction_loop
municipalitybz:17l4d1,induction_loop
municipalitybz:17l5d0,induction_loop
