CODE,SENSOR TECHNOLOGY
16:verso Bolzano,induction_loop
16:verso Merano,induction_loop
20:verso Bolzano,induction_loop
20:verso Bolzano - Bus,induction_loop
20:verso Passo Mendola,induction_loop
3:verso Bolzano,induction_loop
3:verso Trento,induction_loop
4:verso Bolzano,induction_loop
4:verso Brennero,induction_loop
65:marcia verso Bolzano,induction_loop
65:marcia verso Merano,induction_loop
65:sorpasso verso Bolzano,induction_loop
65:sorpasso verso Merano,induction_loop
68:verso Bolzano,induction_loop
68:verso Passo Mendola,induction_loop
74:verso Bolzano,induction_loop
74:verso Renon,induction_loop
75:verso Bolzano,induction_loop
75:verso San Genesio,induction_loop
